,territory,alpha3,first_day,units,paper,population,four_regions
167,Norfolk Island,NFK,mon,metric,A4,,
168,North Korea,PRK,mon,metric,A4,26.14,asia
169,North Macedonia,MKD,mon,metric,A4,1.87,europe
170,Northern Mariana Islands,MNP,mon,metric,A4,,
171,Norway,NOR,mon,metric,A4,5.38,europe
172,Oman,OMN,sat,metric,A4,4.52,asia
173,Pakistan,PAK,sun,metric,A4,235.0,asia
174,Palau,PLW,mon,US,A4,0.02,asia
175,Palestinian Territories,PSE,mon,metric,A4,5.07,asia
176,Panama,PAN,sun,metric,US-Letter,4.29,americas
177,Papua New Guinea,PNG,mon,metric,A4,9.82,asia
178,Paraguay,PRY,sun,metric,A4,6.6,americas
179,Peru,PER,sun,metric,A4,32.84,americas
180,Philippines,PHL,sun,metric,US-Letter,112.08,asia
181,Pitcairn Islands,PCN,mon,metric,A4,,
182,Poland,POL,mon,metric,A4,38.17,europe
183,Portugal,PRT,sun,metric,A4,10.37,europe
184,Puerto Rico,PRI,sun,US,US-Letter,,
185,Qatar,QAT,sat,metric,A4,2.8,asia
186,Reunion,REU,mon,metric,A4,,
187,Romania,ROU,mon,metric,A4,19.39,europe
188,Russia,RUS,mon,metric,A4,146.37,europe
189,Rwanda,RWA,mon,metric,A4,13.07,africa
190,Samoa,WSM,sun,metric,A4,0.21,asia
191,San Marino,SMR,mon,metric,A4,0.03,europe
192,Sao Tome & Principe,STP,mon,metric,A4,0.22,africa
193,Sark,CRQ,mon,metric,A4,,
194,Saudi Arabia,SAU,sun,metric,A4,30.99,asia
195,Senegal,SEN,mon,metric,A4,16.79,africa
196,Serbia,SRB,mon,metric,A4,6.91,europe
197,Seychelles,SYC,mon,metric,A4,0.12,africa
198,Sierra Leone,SLE,mon,metric,A4,7.91,africa
199,Singapore,SGP,sun,metric,A4,5.62,asia
200,Sint Maarten,SXM,mon,metric,A4,,
201,Slovakia,SVK,mon,metric,A4,5.46,europe
202,Slovenia,SVN,mon,metric,A4,2.1,europe
203,Solomon Islands,SLB,mon,metric,A4,0.74,asia
204,Somalia,SOM,mon,metric,A4,16.65,africa
205,South Africa,ZAF,sun,metric,A4,60.56,africa
206,South Georgia & South Sandwich Islands,SGS,mon,metric,A4,,
207,South Korea,KOR,sun,metric,A4,51.86,asia
208,South Sudan,SSD,mon,metric,A4,10.7,africa
209,Spain,ESP,mon,metric,A4,47.68,europe
210,Sri Lanka,LKA,mon,metric,A4,22.56,asia
211,St. Barthelemy,BLM,mon,metric,A4,,
212,St. Helena,SHN,mon,metric,A4,,
213,St. Kitts & Nevis,KNA,mon,metric,A4,0.05,americas
214,St. Lucia,LCA,mon,metric,A4,0.18,americas
215,St. Martin,MAF,mon,metric,A4,,
216,St. Pierre & Miquelon,SPM,mon,metric,A4,,
217,St. Vincent & Grenadines,VCT,mon,metric,A4,0.1,americas
218,Sudan,SDN,sat,metric,A4,46.79,africa
219,Suriname,SUR,mon,metric,A4,0.61,americas
220,Svalbard & Jan Mayen,SJM,mon,metric,A4,,
221,Sweden,SWE,mon,metric,A4,10.35,europe
222,Switzerland,CHE,mon,metric,A4,8.64,europe
223,Syria,SYR,sat,metric,A4,21.05,asia
224,Taiwan,TWN,sun,metric,A4,23.66,asia
225,Tajikistan,TJK,mon,metric,A4,9.75,asia
226,Tanzania,TZA,mon,metric,A4,60.97,africa
227,Thailand,THA,sun,metric,A4,71.64,asia
228,Timor-Leste,TLS,mon,metric,A4,1.33,asia
229,Togo,TGO,mon,metric,A4,8.67,africa
230,Tokelau,TKL,mon,metric,A4,,
231,Tonga,TON,mon,metric,A4,0.11,asia
232,Trinidad & Tobago,TTO,sun,metric,A4,1.48,americas
233,Tristan da Cunha,TAA,mon,metric,A4,,
234,Tunisia,TUN,mon,metric,A4,11.97,africa
235,Turkiye,TUR,mon,metric,A4,86.09,europe
236,Turkmenistan,TKM,mon,metric,A4,6.95,asia
237,Turks & Caicos Islands,TCA,mon,metric,A4,,
238,Tuvalu,TUV,mon,metric,A4,0.01,asia
239,U.S. Outlying Islands,UMI,sun,metric,A4,,
240,U.S. Virgin Islands,VIR,sun,metric,A4,,
241,Uganda,UGA,mon,metric,A4,44.46,africa
242,Ukraine,UKR,mon,metric,A4,44.68,europe
243,United Arab Emirates,ARE,sat,metric,A4,9.45,asia
244,United Kingdom,GBR,mon,UK,A4,67.35,europe
245,United States,USA,sun,US,US-Letter,339.44,americas
246,Uruguay,URY,mon,metric,A4,3.4,americas
247,Uzbekistan,UZB,mon,metric,A4,33.59,asia
248,Vanuatu,VUT,mon,metric,A4,0.3,asia
249,Vatican City,VAT,mon,metric,A4,,
250,Venezuela,VEN,sun,metric,US-Letter,28.44,americas
251,Vietnam,VNM,mon,metric,A4,98.08,asia
252,Wallis & Futuna,WLF,mon,metric,A4,,
253,Western Sahara,ESH,mon,metric,A4,,
254,Yemen,YEM,sun,metric,A4,36.13,asia
255,Zambia,ZMB,mon,metric,A4,19.06,africa
256,Zimbabwe,ZWE,sun,metric,A4,15.53,africa
